563,Trampolining Men's Individual
568,Beach Volleyball Men's Beach Volleyball
575,"Cycling Women's Mountainbike, Cross-Country"
577,"Athletics Men's Javelin Throw, Both Hands"
579,Triathlon Women's Olympic Distance
581,Gymnastics Women's Team Portable Apparatus
583,"Cycling Men's Mountainbike, Cross-Country"
587,Athletics Women's 400 metres Hurdles
615,Diving Men's Springboard
655,"Wrestling Men's Featherweight, Greco-Roman"
663,Table Tennis Men's Singles
677,Art Competitions Mixed Painting
680,Cross Country Skiing Women's 3 x 5 kilometres Relay
688,Judo Men's Open Class
690,Rowing Women's Quadruple Sculls
697,"Gymnastics Men's Team All-Around, Swedish System"
702,Nordic Combined Men's Sprint
703,Athletics Women's Pentathlon
704,"Art Competitions Mixed Painting, Unknown Event"
712,"Cycling Men's Team Pursuit, 4,000 metres"
719,Weightlifting Women's Middleweight
720,"Swimming Men's 1,500 metres Freestyle"
721,"Wrestling Women's Light-Heavyweight, Freestyle"
733,Swimming Women's 100 metres Freestyle
734,"Equestrianism Men's Jumping, Individual"
734,"Equestrianism Men's Jumping, Team"
734,"Equestrianism Men's Three-Day Event, Individual"
734,"Equestrianism Men's Three-Day Event, Team"
736,Alpine Skiing Women's Combined
737,Athletics Women's High Jump
746,"Ski Jumping Men's Normal Hill, Individual"
749,"Canoeing Women's Kayak Fours, 500 metres"
753,Ice Hockey Women's Ice Hockey
755,Sailing Men's One Person Dinghy
769,Trampolining Women's Individual
772,Curling Men's Curling
776,Art Competitions Mixed Literature
786,Judo Men's Middleweight
792,Biathlon Women's 15 kilometres
792,Biathlon Women's 3 x 7.5 kilometres Relay
792,Biathlon Women's 4 x 7.5 kilometres Relay
795,Judo Men's Half-Lightweight
801,"Fencing Women's Foil, Team"
803,Swimming Women's 200 metres Butterfly
803,Swimming Women's 400 metres Individual Medley
806,Golf Men's Individual
807,Athletics Men's Standing High Jump
807,Athletics Men's Standing Long Jump
809,Athletics Men's 20 kilometres Walk
813,Swimming Men's 220 yard Freestyle
813,Swimming Men's 880 yard Freestyle
813,Swimming Men's One Mile Freestyle
813,Swimming Men's 4 x 50 Yard Freestyle Relay
813,Swimming Men's Plunge For Distance
818,"Shooting Men's Free Rifle, Three Positions, 300 metres"
818,"Shooting Men's Military Rifle, Three Positions, 300 metres"
818,"Shooting Men's Military Rifle, Any Position, 600 metres"
818,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team"
818,"Shooting Men's Military Rifle, Prone, 300 metres"
819,Judo Men's Half-Heavyweight
820,Archery Women's Team
824,Athletics Men's 50 kilometres Walk
827,Rowing Women's Double Sculls
829,Sailing Mixed 6 metres
831,Boxing Men's Light-Heavyweight
832,Boxing Women's Flyweight
833,Athletics Women's 100 metres Hurdles
836,"Athletics Men's Discus Throw, Greek Style"
840,Curling Women's Curling
855,Sailing Mixed One Person Dinghy
864,"Wrestling Women's Heavyweight, Freestyle"
867,Badminton Mixed Doubles
874,"Fencing Women's Foil, Individual"
877,Sailing Mixed Two Person Keelboat
884,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team"
890,Table Tennis Men's Doubles
901,"Wrestling Men's Light-Flyweight, Freestyle"
902,"Wrestling Women's Featherweight, Freestyle"
903,Swimming Women's 200 metres Freestyle
903,Swimming Women's 400 metres Freestyle
903,Swimming Women's 200 metres Individual Medley
910,Sailing Men's Windsurfer
911,Freestyle Skiing Men's Slopestyle
913,"Shooting Men's Running Target, Single Shot"
913,"Shooting Men's Running Target, Double Shot"
916,Rugby Sevens Men's Rugby Sevens
924,"Wrestling Women's Lightweight, Freestyle"
944,Modern Pentathlon Women's Individual
953,"Canoeing Men's Canadian Doubles, Slalom"
954,Judo Women's Half-Lightweight
968,Diving Women's Plain High
973,"Equestrianism Men's Dressage, Individual"
973,"Equestrianism Men's Dressage, Team"
975,"Tennis Women's Singles, Covered Courts"
977,Diving Men's Plain High
979,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres"
979,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres"
980,Swimming Women's 800 metres Freestyle
981,Sailing Women's Two Person Dinghy
993,Alpine Skiing Women's Downhill
1015,"Shooting Men's Free Pistol, 50 metres, Team"
1015,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team"
